duong_di_1 = [[
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0070,83.5714,3.5408,169.4850,0.00,VEHICLE,0,0
-1573.0077,83.5679,3.5410,169.4850,22.44,VEHICLE,0,0
-1573.0153,83.5383,3.5421,169.4529,79.87,VEHICLE,0,0
-1573.0327,83.4857,3.5436,169.2888,126.55,VEHICLE,0,0
-1573.0610,83.4140,3.5451,168.9418,168.16,VEHICLE,0,0
-1573.1006,83.3246,3.5464,168.4018,207.86,VEHICLE,0,0
-1573.1515,83.2187,3.5474,167.6754,246.66,VEHICLE,0,0
-1573.2142,83.0971,3.5481,166.7710,285.03,VEHICLE,0,0
-1573.2894,82.9607,3.5485,165.6975,323.08,VEHICLE,0,0
-1573.3788,82.8081,3.5487,164.4461,361.41,VEHICLE,0,0
-1573.4821,82.6427,3.5488,163.0412,399.23,VEHICLE,0,0
-1573.6005,82.4649,3.5488,161.4818,436.82,VEHICLE,0,0
-1573.7346,82.2759,3.5488,159.7744,474.13,VEHICLE,0,0
-1573.8865,82.0765,3.5487,157.9151,511.30,VEHICLE,0,0
-1574.0529,81.8756,3.5486,155.9152,508.52,VEHICLE,0,0
-1574.2223,81.6877,3.5484,153.9039,490.55,VEHICLE,0,0
-1574.3911,81.5140,3.5478,151.9700,473.55,VEHICLE,0,0
-1574.5725,81.3367,3.5471,150.0332,516.91,VEHICLE,0,0
-1574.7740,81.1537,3.5466,147.9545,552.26,VEHICLE,0,0
-1574.9955,80.9672,3.5464,145.7422,586.98,VEHICLE,0,0
-1575.2358,80.7753,3.5464,143.4444,626.28,VEHICLE,0,0
-1575.4846,80.5561,3.5467,141.5432,674.94,VEHICLE,0,0
